f,N=4,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16
107897.2311,(119.69631156847655+118.71228647939186j),(164.86544466846195+163.44684793150046j),(216.44504572426482+214.52523427246635j),(276.29342534621316+273.7576292956851j),(342.71346077607825+339.48541056322404j),(417.79837675256607+413.70616856876177j),(498.1389440383605+493.174434606814j),(588.3059210308242+582.2036650769926j),(685.5304323720528+678.1496771740964j),(789.2369531907239+780.4589454519048j),(900.9738748452128+890.505620015606j),(1018.2713338933695+1006.2045061224702j),(1142.392054226936+1128.3533947222156j)
108720.4722,(120.26163560826106+119.01433906056911j),(165.644262025293+163.86244024935718j),(217.4676757811364+215.07044688028992j),(277.5992163055583+274.45304124823866j),(344.3335505671796+340.3474592509585j),(419.7744558433909+414.75613234295025j),(500.4954321741152+494.4257484613181j),(591.0907513714271+583.6800746485118j),(688.7775909067623+679.8685127289557j),(792.9775626580308+782.4361822813447j),(905.2478626310835+892.7602545948612j),(1023.1035442354914+1008.7512878368591j),(1147.8176310996305+1131.2077958758687j)
109549.9945,(120.828298346096+119.31674506056555j),(166.4249263368427+164.27851548463968j),(218.4927335677842+215.6162899675839j),(278.90811392269586+275.14925256778406j),(345.95750136457457+341.2104941736413j),(421.7552619394669+415.8072879663391j),(502.85756435626035+495.67847784443364j),(593.8822819875911+585.1581397042025j),(692.0325974470558+681.589258841522j),(796.727250164507+784.4155993435818j),(909.53228676283+895.0173467721213j),(1027.947584165564+1011.3008308506733j),(1153.2565631780844+1134.0652595322742j)
110385.8459,(121.39629870736202+119.61950548937925j),(167.20743616566637+164.69507498831862j),(219.52021723780152+216.1627652708898j),(280.220115944613+275.8462654027996j),(347.5853104778955+342.0745179293477j),(423.7407920442745+416.85963845528875j),(505.22533711020264+496.9326262820709j),(596.6805092716505+586.6378641602109j),(695.2954483558334+683.3119197883539j),(800.4860121109747+786.3972012594435j),(913.8271441694158+897.2769013164025j),(1032.8034506485228+1013.8531403034222j),(1158.708848336145+1136.925790876075j)
111228.0747,(121.96563563058582+119.92262136400934j),(167.99179009257648+165.11212012056114j),(220.55012496987842+216.70987453841326j),(281.53522015207045+276.5440819156918j),(349.21697526256764+342.93953313260397j),(425.7310432067+417.91318684423015j),(507.5987470401061+498.1881973204826j),(599.4854296884616+588.1192519535784j),(698.5661400777942+685.0364998663432j),(804.2538450015933+788.380992668782j),(918.1324318621282+899.538923011522j),(1037.6711408607446+1016.40822134567j),(1164.1744845711596+1139.7893950970943j)
112076.7296,(122.53630806651039+120.22609370843378j),(168.77798671609605+165.52965225066447j),(221.58245496529162+217.25761952994296j),(282.8534243592558+277.242704282776j),(350.852493109271+343.8055424143658j),(427.726012535364+418.96793618547406j),(509.9777908104816+499.4451945264536j),(602.2970397899014+589.6023070418239j),(701.8446692003099+686.7630033910873j),(808.0307454795031+790.3669782292916j),(922.4481471219527+901.8034166521056j),(1042.5506521027223+1018.9660791402694j),(1169.653470044247+1142.6560773895922j)
112931.8597,(123.10831497915075+120.5299235535283j),(169.56602465372924+165.94767275702014j),(222.61720545195215+217.80600201670785j),(284.17472641240454+277.9421346941414j),(352.49186146019986+344.6725484216603j),(429.7256972043407+420.0238895484794j),(512.3624651638703+500.703621486404j),(605.1153362347728+591.0870334016613j),(705.1310323671132+688.4914346981889j),(811.8167103404396+792.3551626152639j),(926.7742872306748+904.0703870480583j),(1047.4419819242162+1021.5267188583498j),(1175.1458031296056+1145.5258429509888j)
113793.5143,(123.6816553460667+120.83411193705156j),(170.35590254179502+166.36618302700512j),(223.65437468082698+218.35502378140018j),(285.4991241933874+278.64237535341886j),(354.1350777915511+345.5405538176192j),(431.7300944242125+421.0810500206585j),(514.7527668970007+501.9634818067645j),(607.9403157317702+592.5734350304538j),(708.4252263509902+690.2217981413185j),(815.6117364677615+794.3455505189579j),(931.1108498100609+906.3398390164317j),(1052.3451280589477+1024.0901456798902j),(1180.651482601864+1148.3986969746231j)
114661.7432,(124.2563281580075+121.1386599035905j),(171.1476190359599+166.78518445691816j),(224.69396093158892+218.90468661789842j),(286.8266156155423+279.3434284778366j),(355.78213962925895+346.40956128113277j),(433.73920147524666+422.13942070604185j),(517.1486928813545+503.2247791133088j),(610.7719750978412+594.0615159440873j),(711.7272480534209+691.9540980915905j),(819.4158209556256+796.3381466462995j),(935.4578325079176+908.611777387865j),(1057.2600883999196+1026.656364793383j),(1186.1705072930906+1151.2746446577585j)
115536.5965,(124.83233241986353+121.443568504502j),(171.9411728113252+167.20467845193986j),(225.73596250716275+219.4549923313877j),(288.1571986269828+280.04529629796764j),(357.43304453990544+347.27957350679515j),(435.7530156940957+423.19900472561324j),(519.5502400619581+504.4875170507227j),(613.6103112528522+595.5512801768896j),(715.0370944754034+693.6883389375209j),(823.228960929214+798.3329557214604j),(939.8152332216094+910.8862070002986j),(1062.186861071034+1029.2253813930765j),(1191.7028763258788+1154.1536911943142j)
