f,N=4,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16
66432507.66273249,(1571.393514145428-129.00000066679178j),(1945.2315392654932-630.2491784496242j),(1981.7602693750239-1276.6931524735403j),(1678.9589181575889-1770.9429440683436j),(1265.793179483163-1984.6748495815207j),(909.7403614853558-1997.7940076612563j),(649.205804982501-1916.2688023448563j),(468.37214180345416-1802.374779417476j),(343.76744719005933-1684.1050805116583j),(256.97980760889243-1572.265888534438j),(195.48854694492306-1470.2239171242986j),(151.10296732490667-1378.3575163261135j),(118.48030760788288-1295.9473438085593j)
66939378.57147246,(1572.5705070539466-135.54089458980013j),(1940.772630493704-641.0289376935019j),(1967.9330056370964-1285.9480559555002j),(1659.6669367882362-1772.1849041177588j),(1247.4060766977113-1978.0022891938775j),(895.0208906922865-1986.611778493187j),(638.1704255256697-1903.30503522474j),(460.2259548686818-1789.0831899466984j),(337.72115171959376-1671.1357879908014j),(252.4318582342432-1559.8696224214043j),(192.01379787182768-1458.4698075713322j),(148.4065052462594-1367.2366447788245j),(116.35696926333097-1285.4199892266727j)
67450116.83562562,(1573.6819856885502-142.1305854776212j),(1936.1482871682488-651.7897872824872j),(1953.967014514601-1295.0005790844007j),(1640.4298734216413-1773.1618127889365j),(1229.20866583928-1971.1673341993003j),(880.5107627878967-1975.385692063799j),(627.3129566676212-1890.3713390242779j),(452.2182795876413-1775.85800602786j),(331.7799842442687-1658.2478422710087j),(247.96363989451393-1547.5589393870512j),(188.60006983813025-1446.8004845635405j),(145.75733737698937-1356.197543598415j),(114.27078121017152-1274.9705313184281j)
67964751.96258274,(1574.7267356535508-148.76860660118376j),(1931.3580821571556-662.5285280211644j),(1939.8668464515458-1303.8480137833237j),(1621.252805940485-1773.8766559758533j),(1211.2018636805437-1964.175010079558j),(866.2081833595581-1964.119291364569j),(616.6309423947193-1877.4694498442884j),(444.3468798749027-1762.6997850148864j),(325.9421346581411-1645.4411607308589j),(243.57374159588642-1535.333437740635j),(185.2462714916149-1435.215399167753j),(143.154615784309-1345.2396051791475j),(112.2210783630777-1264.5983485597212j)
68483313.68487161,(1575.7035381357841-155.45446300217247j),(1926.401668177406-673.2419283805764j),(1925.6371238462884-1312.487786261418j),(1602.1406865265049-1774.332529197959j),(1193.3864603772845-1957.0302940489423j),(852.1113207642632-1952.8160298545158j),(606.1219405336807-1864.6010378420078j),(436.60954858635955-1749.6090466862458j),(320.20582173353716-1632.7156422086068j),(239.26077679848137-1523.1927081980862j),(181.95133108844266-1423.7140007961798j),(140.59750800189-1334.362223380956j),(110.20720782629861-1254.302822465207j)
69005831.96187544,(1576.611170515429-162.18763098879077j),(1921.2787794826877-683.9267268052342j),(1911.2825360774073-1320.9174593244493j),(1583.0983394069726-1774.5326321224275j),(1175.763122990686-1949.7381122912288j),(838.2183089016816-1941.479272349322j),(595.7835236885988-1851.767708810748j),(429.0041075092323-1736.5862744306287j),(314.5692927938159-1620.0711677244337j),(235.0233830390574-1511.1363342842724j),(178.7141961553465-1412.2957374200034j),(138.08519674911386-1323.5647936287726j),(108.22852866778302-1244.0833376264222j)
69532336.98,(1577.4484070014855-168.9675576410042j),(1915.9892334771378-694.5796341078027j),(1896.8078344459122-1329.1347344638466j),(1564.130458850198-1774.4802630721247j),(1158.3323990273684-1942.3033373708413j),(824.5272498949156-1930.112295962476j),(585.6132801217861-1838.9710057441594j),(421.5284073292048-1723.631916401272j),(309.0308233813255-1607.5076011775875j),(230.86022155705908-1499.1638927220947j),(175.53383315472067-1400.960055767191j),(135.61687965490572-1312.8467130061822j),(106.28441169693922-1233.9392817444518j)
70062859.16223384,(1578.214019292153-175.79366032512675j),(1910.5329322514547-705.1973359480253j),(1882.2178270417062-1337.137453722323j),(1545.2416074117837-1774.1788135317j),(1141.0947199949485-1934.730785817583j),(811.0362166894795-1918.718291103542j),(575.6088145763133-1826.2124103781375j),(414.1803275780778-1710.7463866432313j),(303.58871692436986-1595.0247900270954j),(226.76997692351023-1487.2749538066869j),(172.4092271567277-1389.7064015206429j),(133.19176898720434-1302.207380348785j),(104.37423924677049-1223.8700456617635j)
70597429.15427403,(1578.9067772599744-182.66532622106928j),(1904.9098640348884-715.7764953953008j),(1867.5173735469145-1344.9236013325053j),(1526.4362144185095-1773.6317626621885j),(1124.0504049607757-1927.025215878322j),(797.7432555563025-1907.3003625152264j),(565.7677490488423-1813.4933447188246j),(406.9577765627415-1697.9300661933537j),(298.2413043999244-1582.6225659475235j),(222.75135667377322-1475.4690817679918j),(169.33938151431963-1378.5342195010635j),(130.8090913855041-1291.646196325662j),(102.49740495986958-1213.8750233906649j)
71136077.84192859,(1579.5254496622715-189.58191186017888j),(1899.1201045603755-726.3137555695598j),(1852.7113799874608-1352.4913051266635j),(1507.7185746981959-1772.842671837017j),(1107.1996641144933-1919.1913254358592j),(784.6463885134963-1895.861530358125j),(556.0877235071559-1800.8151725452058j),(399.85869127622516-1685.1833041527516j),(292.98694399571264-1570.3007454681535j),(218.80309094373746-1463.745835120511j),(166.32331754461177-1367.4429538484665j),(128.4680875996856-1281.1625635246216j),(100.65331357862638-1203.9536121410677j)
