Frequency,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27
9784104.608,1643.5289178656594+796.1886302547953j,2418.218227722153+1087.786062449595j,3384.9864960262353+1370.3546465508675j,4571.659551290015+1587.1710645153798j,5998.848554574299+1649.1793927539302j,7657.40124427132+1426.7912843029421j,9469.42809045287+756.7036206460391j,11240.974775459834-514.0950792006334j,12652.90439836979-2426.421722898086j,13358.434734512562-4797.319080935674j,13178.021995501298-7228.137418763984j,12223.504688586503-9294.152808456292j,10810.943304895281-10755.47730412329j,9266.611190888634-11601.587039962507j,7807.792409887644-11956.25436326893j,6534.298210733524-11972.697904014112j,5468.687376785929-11779.435313016187j,4595.712845040371-11467.550425061614j,3886.785610436185-11096.013119249985j,3311.9400790985646-10700.938136649154j,2844.5663780578025-10303.533396490737j,2462.6619833156137-9915.720282658684j,2148.642505832539-9543.787887992861j
9858755.983,1648.1918875110423+797.1258369539318j,2425.510232882458+1088.3511222123316j,3395.887406926599+1369.5288942387717j,4587.238138727824+1582.991895388322j,6019.7877969326455+1638.2189090620036j,7682.840012160117+1403.7469834769672j,9494.89862402952+714.8868318952992j,11256.173781194619-579.9711913240834j,12642.25118744269-2514.6057270517363j,13307.838608442245-4894.362675166028j,13084.834931637233-7312.441905771395j,12099.336222316557-9347.405811456008j,10674.007223315417-10770.939489331384j,9132.436138663714-11582.972698416757j,7685.442119739162-11911.9863165897j,6427.244403508191-11911.366250141553j,5377.035391771666-11707.873163742199j,4518.005530785701-11390.572238248185j,3821.063383257245-11016.785832904257j,3256.254902831395-10621.453107585834j,2797.1868044711428-10224.996336483273j,2422.1270818966796-9838.829874227009j,2113.7506871620863-9468.92222473615j
9933976.937,1652.869954450484+798.0575990384374j,2432.8297612624483+1088.89721408462j,3406.833324117009+1368.6530403579422j,4602.878094528939+1578.698274014419j,6040.780470869945+1627.025437339321j,7708.242786202654+1380.2853765816421j,9520.064806011667+672.4466757083368j,11270.544627614065-646.5269181289873j,12630.113238177586-2603.095930146017j,13255.401102066055-4990.807278716406j,12990.157461606514-7395.096390204208j,11974.616632362886-9398.404568118918j,10537.532983565097-10784.198991202073j,8999.427347548171-11562.637153582877j,7564.5867535382185-11866.596869896435j,6321.741590860543-11849.444772949684j,5286.841249094411-11636.124472668685j,4441.600648946438-11313.68813545766j,3756.4746039669853-10937.837300310282j,3201.543693812961-10542.362966829163j,2750.640078546857-10146.92359731333j,2382.304106245254-9762.44222100119j,2079.468822426557-9394.577516554404j
10009771.82,1657.563188046864+798.9838239001151j,2440.1769527442975+1089.4240385200271j,3417.8244146884235+1367.726294564414j,4618.57928620051+1574.2884073275225j,6061.825031378795+1615.5955588264935j,7733.6039832178085+1356.4015950377093j,9544.913161973536+629.3803668563328j,11284.06551665449-713.7532427868323j,12616.472682877273-2691.860669565286j,13201.131506223253-5086.604574300945j,12894.034695103259-7476.064442556951j,11849.40615121411-9447.147855422661j,10401.568388085414-10795.286391757378j,8867.608465553074-11540.624505538393j,7445.228874672355-11820.128413581664j,6217.779218061306-11786.967255645384j,5198.088171980687-11564.213324249278j,4366.47958791889-11236.913916862344j,3693.001159175624-10859.17703281542j,3147.789882399043-10463.672731028359j,2704.9115161821937-10069.317090790639j,2343.18025256687-9686.557136296466j,2045.7858316499173-9320.752182741824j
10086145,1662.271658081197+799.9044177080993j,2447.551947541763+1089.9312916314602j,3428.8608427970976+1366.7478546410716j,4634.3415626397455+1569.760476936769j,6082.91986551749+1603.9258204408065j,7758.91784671315+1332.0907855862695j,9569.429944479956+585.6853692156473j,11296.714592119517-781.6404417720951j,12601.312463740516-2780.8674143779153j,13145.04079548107-5181.706347077434j,12796.512931968457-7555.311260116836j,11723.764613657386-9493.636473260329j,10266.159736006375-10804.233387315655j,8737.001571283647-11516.97885342358j,7327.36996770447-11772.622689519256j,6115.346191636772-11723.966651593542j,5110.759233256814-11492.163043547607j,4292.623811508521-11160.264778706436j,3630.6251212650554-10780.81409582125j,3094.9771261027417-10385.387102248587j,2659.9866648608095-9992.178514244042j,2304.742935261988-9611.174291941401j,2012.6908324638373-9247.444553228386j
10163100.9,1666.9954347549346+800.8192853912045j,2454.954886181302+1090.4186651247906j,3439.9427695109493+1365.7169063295848j,4650.1647534834565+1565.1126388887428j,6104.06329049033+1592.0127352200918j,7784.178443641693+1307.3481143546524j,9593.60113448486+541.3594081945888j,11308.469962384137-850.1780708130808j,12584.616376489028-2870.082786383523j,13087.141632393523-5276.064556678526j,12697.63958848779-7632.803714472105j,11597.751376095766-9537.873208615116j,10131.351802814843-10811.072714100512j,8607.62720324296-11491.744241459175j,7211.010480625051-11724.120771850281j,6014.430913434779-11660.475088312985j,5024.837376444058-11419.99620980077j,4220.014869675464-11083.75532853085j,3569.3287523919707-10702.757122202376j,3043.0893097221633-10307.510478626178j,2615.851301797353-9915.509358554995j,2266.9797842298617-9536.293224220433j,1980.173137102052-9174.65287277503j
10240643.97,1671.7345886922035+801.728330620088j,2462.385909482121+1090.8858462318244j,3451.0703526550014+1364.632623156347j,4666.048668437374+1560.3430234364444j,6125.2535516944445+1579.8527828087342j,7809.379661191668+1282.168771083756j,9617.412443173278+496.40048342864725j,11319.309724129522-919.354951481374j,12566.36911355306-2959.4725836521375j,13027.44836795074-5369.631410028275j,12597.463121629085-7708.510394941281j,11471.425238622578-9579.862796131143j,9997.187823617263-10815.8380742636j,8479.504390504522-11464.9646073301j,7096.1498667035285-11674.663049767758j,5915.021313506474-11596.523872342037j,4940.305435975408-11347.734670269232j,4148.634408559572-11007.399600188677j,3509.0945080317565-10625.014325375607j,2992.110545211158-10230.04696467319j,2572.491431943761-9839.310915872911j,2229.878642060633-9461.91333945529j,1948.2222493859526-9102.375304973439j
10318778.67,1676.4891909421904+802.6314557888994j,2469.8451585341872+1091.332517643131j,3462.2437466473884+1363.4941662614765j,4681.993096586339+1555.4497348145294j,6146.488820725338+1567.4424100014123j,7834.5152035959745+1256.547973581467j,9640.849314271281+450.80688169867926j,11329.21198710828-989.1591584355474j,12546.556306817236-3049.0018062694517j,12965.977038480745-5462.359434380973j,12496.03295121993-7782.401647949418j,11344.844370071885-9619.611875280305j,9863.709480204183-10818.564062518522j,8352.65068496831-11436.683733044398j,6982.786625837413-11624.289212203905j,5817.1048821264085-11532.143495128648j,4857.146156528929-11275.399554315958j,4078.4641799651454-10931.21106880908j,3449.9050402027196-10547.593512174426j,2942.0251714267692-10153.000381424054j,2529.893285980572-9763.584287218213j,2193.4275612784177-9388.033919545333j,1916.8278618192703-9030.60993631002j
10397509.54,1681.2593129810396+803.5285619970678j,2477.332774677118+1091.7583574383996j,3473.46310233367+1362.3006842222417j,4697.997805683943+1550.4308510220308j,6167.767193343333+1554.778031345047j,7859.578588993363+1230.4809723298458j,9663.896926843456+404.57719009597065j,11338.154899917456-1059.5780074868198j,12525.164569660788-3138.6346845712833j,12902.745358609678-5554.201550727204j,12393.399380465025-7854.449612177239j,11218.06623596898-9657.12894438754j,9730.956891714466-10819.28609357393j,8227.082194778082-11406.945198198617j,6870.918345466971-11573.038234418253j,5720.6687006511-11467.363639670693j,4775.342211297384-11203.011287487148j,4009.486050141622-10855.202665488063j,3391.743200317527-10470.502095434364j,2892.81775361837-10076.374276197766j,2488.043318179849-9688.330389767449j,2157.614801567183-9314.654127318674j,1885.9798525914603-8959.354779860581j
10476841.11,1686.0450267142915+804.4195490302892j,2484.84889947664+1092.163039017077j,3484.7285668135164+1361.0513128776136j,4714.062541428387+1545.284423603825j,6189.086687415414+1541.856029773072j,7884.563146327051+1203.9630553158217j,9686.54019860475+357.7103093700976j,11346.116676772597-1130.5980444853526j,12502.18153821734-3228.334709719389j,12837.772710562349-5645.111147024728j,12289.613515024816-7924.628249424182j,11091.147529851962-9692.424311675019j,9598.968608541734-10818.040330508338j,8102.8136188334665-11375.792335659633j,6760.541740878218-11520.948366344704j,5625.699471405093-11402.213187977839j,4694.876219572966-11130.589605892214j,3941.6820080249345-10779.386791848032j,3334.5920416100735-10393.747106190283j,2844.4730827761696-10000.171932148533j,2446.928204220474-9613.549963959073j,2122.428826905837-9241.77301155631j,1855.6682826468539-8888.60777894848j
