Frequency,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27
117478365.6,3499.512536018421-1600.0177280153362j,2307.15692291165-2910.321615521753j,1190.2842070112442-2860.266529125711j,620.7873400793382-2478.769906999373j,341.0246471082929-2109.9778793310925j,195.0611110590409-1798.8462469272633j,113.94848888610497-1536.7413824347796j,66.62289347836739-1310.1061948714437j,38.06455079144486-1107.902153615641j,20.535677379399452-921.6457083368877j,9.844425368912507-744.4480671277365j,3.6426974977294773-569.748845044247j,0.6136536134416801-385.98973796917505j,0.07788363668795582-257.9605665620961j,1.81439289286679-36.03665406595326j,6.0440705476895396+185.66362857474j,13.56083439157732+441.20516064041436j,26.156525887033617+752.5796883744838j,47.73321640515249+1155.0632463266627j,87.47077237601064+1714.752257417917j,170.56215942271393+2574.3644522071927j,386.55243005000136+4111.050405403854j,1252.5756152550484+7736.199304588357j
118374709.4,3482.688228560291-1626.9403273406951j,2270.755503963909-2907.7296519350143j,1165.940299208485-2840.2516470106266j,606.8663101834227-2456.1198788269703j,332.8293380393694-2088.3287022639583j,189.9766206126838-1778.611624574533j,110.64708057696419-1517.6426012957722j,64.40584148914073-1291.7472805813968j,36.545599445890176-1089.8777566255853j,19.493083741461597-903.5370481092733j,9.149491470157638-725.7733551035777j,3.224661475572473-549.7931668992042j,0.4435783442542661-361.5330401181391j,0.16487796145398873-224.89397612181705j,2.213763321724694-8.018793119527704j,6.88185486861229+218.75548303406458j,15.09501263859647+482.6896446261726j,28.92439138378871+807.614038962482j,52.945287871627414+1233.1358588965672j,98.23406360698218+1835.5463323484194j,196.63292862944851+2785.8149164550255j,470.7442094398889+4563.48171802135j,1762.6678581037877+9183.684877591459j
119277892.2,3465.2599366667137-1653.7102092580044j,2234.524880231805-2904.568952754813j,1141.9697753159944-2820.1183650096646j,593.1983664815011-2433.532899286275j,324.78967082360913-2066.7785854242597j,184.99057420541283-1758.4692951631648j,107.41106952332092-1498.616513715176j,62.23456656975447-1273.4357407585921j,35.06056515118006-1071.8698310135403j,18.477413644228598-885.4050606313926j,8.477966702069896-707.0174607893434j,2.829561371143684-529.6349848434384j,0.2993734934430342-335.18914772359597j,0.28571571651281213-195.41184724184572j,2.6631690579170346+20.484953460489425j,7.802042606662027+252.79100532215125j,16.778199473665744+525.7793224044212j,31.988679833689428+865.4680091746968j,58.8183694661529+1316.5143690697491j,110.71968183984055+1967.4546624101504j,228.39766299571028+3024.869320765178j,583.560809200796+5108.327651682479j,2641.1722027501373+11205.14628457333j
120187966.1,3447.2267027465814-1680.3103319573552j,2198.476863168749-2900.847404454279j,1118.3699438364356-2799.8737256239306j,579.7796116453791-2411.0105238358215j,316.9029539336892-2045.3269674544135j,180.10125158524374-1738.4179097919168j,104.23935208549986-1479.6613216512171j,60.108360419898034-1255.169287318588j,33.60901668358879-1053.8753245268986j,17.488463722398276-867.2453031543806j,7.8298829497934985-688.1726646517196j,2.4577383392041723-509.24873336552673j,0.18184765512493617-305.3039775865108j,0.4420881961970594-167.44213578977946j,3.16610627423975+49.53715772442653j,8.811935584015053+287.8439067543636j,18.626639643257576+570.6103221726988j,35.3890960674598+926.4228993829929j,65.46343736869866+1405.84897953999j,125.305434722562+2112.2334351354607j,267.6144063465348+3297.5683757403704j,739.4058684143413+5777.311349708183j,4332.030452537388+14178.636155232325j
121104983.8,3428.5881583035493-1706.7234328358172j,2162.622909921841-2896.5731735493646j,1095.1380091492838-2779.5245961339174j,566.6061882408292-2388.554215432977j,309.16654107861063-2023.9732502951358j,175.30696530790675-1718.4560983406643j,101.13084781953039-1460.7752014170653j,58.02653253210229-1236.945587093004j,32.19053886631059-1035.8910977781002j,16.52604877491325-849.0531442445471j,7.205297992852388-669.2306445339137j,2.1095773465654863-488.6025030801641j,0.09184541395050158-266.99628617979727j,0.6358792375866346-140.11820320209853j,3.726448444004874+79.1972682260599j,9.919732742368346+323.9938979978169j,20.658921778088235+617.3336500147448j,39.17227169612892+990.797803803801j,73.01573076062309+1501.8994017871414j,142.47816322833333+2272.0265106929182j,316.7712687397428+3611.8365869412146j,962.9148599191421+6618.145512326491j,8147.3676579332605+18748.20309087622j
122028998.2,3409.344541571166-1732.9320515982802j,2126.97411702872-2891.7546897371612j,1072.2710780057123-2759.077669324989j,553.6742794504959-2366.165346887192j,301.57783069567097-2002.7167999989092j,170.6060602401359-1698.5824692834494j,98.08449916882914-1441.956302626239j,55.988410091444024-1218.7622594270083j,30.804732731870068-1017.9139187278054j,15.590002360849205-830.8237470862354j,6.604296956041107-650.1823709762837j,1.785510437619541-467.6551632693369j,0.03006035277893898-196.55004711648917j,0.8691698744804847-113.0041718231854j,4.3484938625114395+109.52385589437063j,11.13466285663132+361.32759864299277j,22.896391844177785+666.1173574622683j,43.393258018501925+1058.9562123972482j,81.64137606286987+1605.5589047248807j,162.87362648382793+2449.4781806088254j,379.4807546392922+3978.2707345959157j,1298.970768742222+7705.618583537648j,18782.381089769922+24915.162017015817j
122960062.7,3389.4967141921657-1758.918554663288j,2091.541214968013-2886.4006290029556j,1049.7661658423667-2738.539464389868j,540.9801097266088-2343.8452031612705j,294.1342654384591-1981.5569474974234j,165.99691307190824-1678.7956094590818j,95.09927116759822-1423.2027470701587j,53.993337891490135-1200.6168736228965j,29.451215713476564-999.9404567053357j,14.680177456295633-812.5520504615315j,6.026993900204334-631.0179735650274j,1.4860203074787481-446.35166065433964j,0.15178577762373013+2752.316866256515j,1.1442549832994897-85.84883286168943j,5.037020345146843+140.57622646869618j,12.467140709595949+399.9395357816968j,25.36365404724508+717.149085307323j,48.11740721701571+1131.314039651421j,91.54621500783827+1717.8849699746902j,187.33444651691605+2647.8874835059523j,461.1454951063731+4411.354856820964j,1836.1122464501395+9162.650966364075j,46692.64179763092+16279.5140267726j
123898231.1,3369.0461768430987-1784.66516083754j,2056.334563549144-2880.519896741056j,1027.6202029121832-2717.916327995934j,528.5199453765732-2321.594983619819j,286.8333316614559-1960.4929893226536j,161.477931837764-1659.0940837981216j,92.1741511561392-1404.5126275238536j,52.04067826721003-1182.5069462174483j,28.12962186730854-981.967275910208j,13.79644717752262-794.2327469271145j,5.473533566901962-611.7265675629635j,1.2116441935320936-424.6149727856293j,0.0021098335127068685-354.8578133725806j,1.4636653711947285-58.49023848384326j,5.797348356006101+172.41566547538935j,13.92895157787255+439.93325990562596j,28.08918094103496+770.6390649702289j,53.422761443541305+1208.3494535302634j,102.98771407913372+1840.138765562796j,216.99607054911078+2871.422989943275j,570.1305348128049+4931.392198110687j,2767.846851944234+11201.668030870429j,37766.93525693049-23904.465313782755j
124843557.6,3347.9950837064234-1810.1539682145724j,2021.3641481262534-2874.1216109331353j,1005.8300402322634-2697.2144355068294j,516.2900950846542-2299.415804224599j,279.6725589021437-1939.524188282194j,157.04755544747496-1639.4764350055675j,89.30814850845233-1385.8840064764745j,50.12981104569296-1164.429938079662j,26.83960212796853-963.9908283298571j,12.938705576301357-775.8602575791533j,4.944093292534406-592.2960251464236j,0.9629780709077114-402.33154516835947j,0.03295927789936698-278.36582100427927j,1.8301939946126782-30.81322435564715j,6.635414075920652+205.10647421831789j,15.533470035541423+481.4226085023482j,31.106060760603636+826.8236786763839j,59.40311242181396+1290.6149933546112j,116.29124559823597+1973.8365350153017j,253.41731880879976+3125.4274025644877j,719.9322546957882+5567.688346638072j,4578.1973297868535+14202.17585323727j,14754.733039673012-23884.78616934134j
125796096.8,3326.346255692816-1835.3669822458269j,1986.6395766168116-2867.2150854253146j,984.3924553478637-2676.4397923467077j,504.2869103726649-2277.308699676173j,272.649519361295-1918.6497740888572j,152.70425322614764-1619.9411831976377j,86.50029437227539-1367.3149147812705j,48.260133515498296-1146.3832513131615j,25.580824599492225-946.0074459963316j,12.106868513854996-757.4287026247414j,4.438885109195594-572.7126679245891j,0.7406810705917677-379.3230653250017j,0.09840342953441716-237.57260521982738j,2.2469262638240926-2.728427110888033j,7.55785423106785+238.71689646158484j,17.295920552332447+524.5331515346686j,34.45291834431128+885.9697055130367j,66.17195510247998+1378.7526226245961j,131.8726705722266+2120.8173015891653j,298.7839400884936+3416.858635472905j,933.4343840328781+6364.009544119782j,8710.353614735628+18770.659849206368j,6906.782924354056-18022.542201419616j
