Frequency,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27
2490781.826,669.636+389.904j,980.482+562.714j,1364.64+758.945j,1803.12+980.635j,2316.31+1212.96j,2907.68+1445.7j,3553.99+1719.67j,4306.04+1941.4j,5126.48+2147.74j,5991.82+2426.14j,7008.56+2584.88j,8038.78+2704.26j,9183.74+2750.89j,10480.6+2592.08j,12099.5+2596.51j,13113.5+2213.88j,14489.4+2030.21j,15866.7+654.951j,17146.4-109.04j,18385.7-1165.06j,19208.0-2783.7j,20403.7-3669.94j,21618.1-4520.72j
2509786.149,671.531+390.528j,983.291+563.566j,1368.67+759.928j,1808.55+981.734j,2323.51+1213.92j,2917.07+1446.14j,3565.65+1719.71j,4320.66+1939.9j,5144.32+2144.07j,6012.83+2420.84j,7033.4+2575.64j,8067.27+2690.41j,9215.85+2730.75j,10515.7+2562.07j,12138.2+2556.67j,13151.7+2163.16j,14528.4+1969.05j,15893.5+570.744j,17165.1-207.635j,18390.8-1278.88j,19187.3-2918.17j,20369.2-3814.75j,21570.1-4675.06j
2528935.472,673.431+391.152j,986.108+564.417j,1372.71+760.906j,1813.99+982.825j,2330.74+1214.87j,2926.49+1446.54j,3577.36+1719.7j,4335.34+1938.31j,5162.22+2140.27j,6033.91+2415.39j,7058.32+2566.17j,8095.83+2676.24j,9248.0+2710.19j,10550.6+2531.52j,12176.7+2516.14j,13189.5+2111.65j,14567.0+1907.0j,15919.4+485.626j,17182.4-307.094j,18394.2-1393.38j,19164.2-3052.84j,20332.0-3959.49j,21519.4-4829.07j
2548230.903,675.337+391.774j,988.933+565.266j,1376.76+761.88j,1819.46+983.906j,2337.99+1215.81j,2935.95+1446.9j,3589.11+1719.65j,4350.08+1936.64j,5180.19+2136.34j,6055.08+2409.78j,7083.32+2556.46j,8124.44+2661.76j,9280.17+2689.21j,10585.5+2500.41j,12215.1+2474.92j,13227.1+2059.34j,14605.1+1844.05j,15944.2+399.607j,17198.4-407.401j,18395.9-1508.56j,19138.8-3187.68j,20292.3-4104.11j,21465.9-4982.68j
2567673.555,677.248+392.396j,991.766+566.113j,1380.82+762.848j,1824.94+984.978j,2345.27+1216.72j,2945.45+1447.24j,3600.91+1719.54j,4364.87+1934.89j,5198.23+2132.28j,6076.32+2403.99j,7108.39+2546.52j,8153.11+2646.95j,9312.35+2667.81j,10620.3+2468.73j,12253.3+2433.0j,13264.3+2006.23j,14642.7+1780.2j,15968.0+312.695j,17213.0-508.535j,18395.8-1624.37j,19111.0-3322.62j,20249.9-4248.54j,21409.5-5135.82j
2587264.551,679.165+393.018j,994.608+566.959j,1384.9+763.811j,1830.44+986.04j,2352.58+1217.61j,2954.98+1447.53j,3612.75+1719.38j,4379.73+1933.05j,5216.34+2128.1j,6097.63+2398.05j,7133.53+2536.33j,8181.84+2631.82j,9344.56+2645.99j,10655.0+2436.49j,12291.3+2390.38j,13301.1+1952.31j,14679.7+1715.45j,15990.8+224.903j,17226.3-610.478j,18394.0-1740.79j,19080.8-3457.61j,20204.9-4392.73j,21350.4-5288.42j
2607005.024,681.086+393.638j,997.458+567.803j,1388.99+764.769j,1835.97+987.093j,2359.91+1218.49j,2964.55+1447.79j,3624.65+1719.17j,4394.64+1931.13j,5234.51+2123.78j,6119.02+2391.93j,7158.73+2525.89j,8210.61+2616.36j,9376.77+2623.72j,10689.6+2403.67j,12329.1+2347.05j,13337.6+1897.59j,14716.2+1649.8j,16012.4+136.24j,17238.1-713.208j,18390.4-1857.77j,19048.2-3592.6j,20157.3-4536.61j,21288.4-5440.41j
2626896.114,683.014+394.258j,1000.32+568.645j,1393.09+765.722j,1841.51+988.136j,2367.27+1219.34j,2974.16+1448.02j,3636.59+1718.91j,4409.61+1929.12j,5252.75+2119.32j,6140.48+2385.63j,7184.01+2515.21j,8239.44+2600.57j,9408.99+2601.02j,10724.2+2370.28j,12366.7+2303.0j,13373.6+1842.05j,14752.2+1583.24j,16033.0+46.7191j,17248.5-816.705j,18384.9-1975.3j,19013.2-3727.52j,20107.1-4680.11j,21223.7-5591.72j
2646938.971,684.946+394.878j,1003.18+569.485j,1397.21+766.669j,1847.07+989.168j,2374.66+1220.18j,2983.81+1448.2j,3648.57+1718.6j,4424.64+1927.02j,5271.05+2114.73j,6162.01+2379.17j,7209.35+2504.27j,8268.32+2584.44j,9441.21+2577.88j,10758.6+2336.29j,12404.1+2258.23j,13409.3+1785.69j,14787.5+1515.78j,16052.4-43.6462j,17257.4-920.946j,18377.6-2093.32j,18975.7-3862.33j,20054.3-4823.17j,21156.2-5742.28j
2667134.752,686.884+395.496j,1006.06+570.323j,1401.34+767.611j,1852.64+990.191j,2382.07+1221.0j,2993.49+1448.35j,3660.61+1718.23j,4439.73+1924.83j,5289.42+2110.0j,6183.62+2372.52j,7234.76+2493.08j,8297.24+2567.96j,9473.43+2554.28j,10792.9+2301.72j,12441.2+2212.73j,13444.5+1728.52j,14822.3+1447.41j,16070.6-134.842j,17264.8-1025.91j,18368.5-2211.81j,18935.9-3996.95j,19998.9-4965.73j,21085.9-5892.03j
2687484.624,688.828+396.114j,1008.94+571.159j,1405.49+768.547j,1858.24+991.203j,2389.52+1221.79j,3003.22+1448.47j,3672.69+1717.81j,4454.88+1922.55j,5307.86+2105.13j,6205.3+2365.69j,7260.24+2481.62j,8326.2+2551.14j,9505.64+2530.22j,10827.0+2266.55j,12478.1+2166.5j,13479.2+1670.53j,14856.4+1378.13j,16087.7-226.855j,17270.7-1131.56j,18357.4-2330.73j,18893.6-4131.34j,19940.8-5107.72j,21012.8-6040.88j
2707989.762,690.777+396.731j,1011.83+571.993j,1409.64+769.478j,1863.86+992.204j,2396.99+1222.57j,3012.98+1448.54j,3684.82+1717.33j,4470.08+1920.17j,5326.36+2100.12j,6227.05+2358.68j,7285.77+2469.9j,8355.2+2533.96j,9537.83+2505.71j,10861.1+2230.78j,12514.7+2119.54j,13513.5+1611.71j,14889.9+1307.95j,16103.5-319.667j,17275.1-1237.89j,18344.5-2450.05j,18848.8-4265.44j,19880.1-5249.07j,20937.0-6188.73j
2728651.352,692.731+397.347j,1014.73+572.825j,1413.82+770.402j,1869.5+993.195j,2404.49+1223.32j,3022.78+1448.57j,3697.0+1716.8j,4485.35+1917.7j,5344.93+2094.96j,6248.88+2351.48j,7311.37+2457.91j,8384.23+2516.43j,9570.01+2480.73j,10894.9+2194.4j,12551.0+2071.83j,13547.3+1552.07j,14922.7+1236.87j,16118.2-413.264j,17277.9-1344.86j,18329.6-2569.71j,18801.7-4399.18j,19816.9-5389.72j,20858.4-6335.51j
2749470.587,694.691+397.963j,1017.64+573.656j,1418.0+771.321j,1875.15+994.175j,2412.01+1224.06j,3032.62+1448.57j,3709.23+1716.21j,4500.67+1915.13j,5363.56+2089.66j,6270.77+2344.09j,7337.02+2445.65j,8413.3+2498.54j,9602.16+2455.27j,10928.7+2157.41j,12587.1+2023.38j,13580.6+1491.6j,14954.8+1164.89j,16131.5-507.627j,17279.0-1452.44j,18312.7-2689.69j,18752.1-4532.5j,19751.0-5529.61j,20777.1-6481.18j
2770448.67,696.657+398.577j,1020.56+574.483j,1422.2+772.234j,1880.83+995.143j,2419.57+1224.77j,3042.49+1448.52j,3721.5+1715.56j,4516.05+1912.47j,5382.26+2084.2j,6292.73+2336.51j,7362.74+2433.12j,8442.39+2480.27j,9634.28+2429.34j,10962.2+2119.8j,12622.8+1974.17j,13613.4+1430.31j,14986.2+1092.0j,16143.5-602.739j,17278.6-1560.61j,18292.7-2816.96j,18700.0-4665.35j,19682.6-5668.67j,20693.1-6625.69j
